Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"02-07-2024 , 09:52",50.373758333333335,-4.780351666666666,S,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking",Penwithick Road,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702095220095_50.373758333333335_-4.780351666666666_S_40.9_11.4_43186.16_cornwalltrial_10_7_7_7_4_4_7_7_7_4_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702095220095_50.373758333333335_-4.780351666666666_S_40.9_11.4_43186.16_cornwalltrial_.jpg
"02-07-2024 , 09:20",50.37661333333334,-4.798188333333333,E,Minor Pothole,"Minor Pothole, Moderate Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking",A391,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markred/20240702092039094_50.37661333333334_-4.798188333333333_E_37.5_10.28_18418.26_cornwalltrial_10_11_7_4_7_4_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702092039094_50.37661333333334_-4.798188333333333_E_37.5_10.28_18418.26_cornwalltrial_.jpg
"02-07-2024 , 10:44",50.383115833333335,-4.6757341666666665,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Alligator",B3269,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702104452107_50.383115833333335_-4.6757341666666665_N_47.4_6.58_75295.36_cornwalltrial_10_7_1_7_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702104452107_50.383115833333335_-4.6757341666666665_N_47.4_6.58_75295.36_cornwalltrial_.jpg
"02-07-2024 , 10:45",50.38462166666667,-4.6773575,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",B3269,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702104507097_50.38462166666667_-4.6773575_N_47.6_6.95_75499.13_cornwalltrial_10_7_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702104507097_50.38462166666667_-4.6773575_N_47.6_6.95_75499.13_cornwalltrial_.jpg
"02-07-2024 , 10:45",50.385643333333334,-4.678168333333333,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",B3269,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702104531087_50.385643333333334_-4.678168333333333_N_18.1_4.94_75627.55_cornwalltrial_10_7_7_7_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702104531087_50.385643333333334_-4.678168333333333_N_18.1_4.94_75627.55_cornwalltrial_.jpg
"02-07-2024 , 09:50",50.38661916666667,-4.7849175,S,Minor Pothole,"Minor Pothole, Minor Alligator",B3374,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702095034104_50.38661916666667_-4.7849175_S_56.8_8.43_41622.39_cornwalltrial_10_1_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702095034104_50.38661916666667_-4.7849175_S_56.8_8.43_41622.39_cornwalltrial_.jpg
"02-07-2024 , 09:24",50.393995,-4.793993333333333,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking",A391,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702092403095_50.393995_-4.793993333333333_N_21.3_6.19_20467.36_cornwalltrial_10_7_4_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702092403095_50.393995_-4.793993333333333_N_21.3_6.19_20467.36_cornwalltrial_.jpg
"02-07-2024 , 11:43",50.400601666666674,-4.689968333333333,S,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",B3269,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702114339086_50.400601666666674_-4.689968333333333_S_27.2_8.85_120251.75_cornwalltrial_10_7_7_7_7_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702114339086_50.400601666666674_-4.689968333333333_S_27.2_8.85_120251.75_cornwalltrial_.jpg
"02-07-2024 , 09:30",50.40884555555556,-4.786313888888889,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking",A391,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702093022431000_50.40884555555556_-4.786313888888889_N_69.4_6.63_23575.31_cornwalltrial_10_7_7_4_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702093022431000_50.40884555555556_-4.786313888888889_N_69.4_6.63_23575.31_cornwalltrial_.jpg
"02-07-2024 , 11:25",50.41657111111112,-4.688847222222223,N,Minor Pothole,"Minor Pothole, Minor Transverse Cracking, Minor Longitudinal Cracking",B3269,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702112552091_50.41657111111112_-4.688847222222223_N_68.0_6.25_105771.9_cornwalltrial_10_4_7_7_7_4_7_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702112552091_50.41657111111112_-4.688847222222223_N_68.0_6.25_105771.9_cornwalltrial_.jpg
"02-07-2024 , 11:41",50.41677500000001,-4.688943333333333,S,Minor Pothole,"Minor Pothole, Moderate Pothole, Minor Longitudinal Cracking, Minor Alligator",B3269,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markred/20240702114140752666_50.41677500000001_-4.688943333333333_S_79.6_7.14_118412.74_cornwalltrial_10_11_7_1_7_7_7_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702114140752666_50.41677500000001_-4.688943333333333_S_79.6_7.14_118412.74_cornwalltrial_.jpg
"02-07-2024 , 11:25",50.41694444444445,-4.689135,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",B3269,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702112554429333_50.41694444444445_-4.689135_N_71.7_6.74_105817.95_cornwalltrial_10_7_7_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702112554429333_50.41694444444445_-4.689135_N_71.7_6.74_105817.95_cornwalltrial_.jpg
"02-07-2024 , 11:26",50.42153555555556,-4.692772777777778,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",B3269,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702112622091_50.42153555555556_-4.692772777777778_N_72.7_6.65_106391.03_cornwalltrial_10_7_7_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702112622091_50.42153555555556_-4.692772777777778_N_72.7_6.65_106391.03_cornwalltrial_.jpg
"02-07-2024 , 11:41",50.423231666666666,-4.694253333333333,S,Minor Pothole,"Minor Pothole, Minor Transverse Cracking, Minor Longitudinal Cracking",B3269,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702114103753334_50.423231666666666_-4.694253333333333_S_71.6_6.89_117600.47_cornwalltrial_10_4_7_4_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702114103753334_50.423231666666666_-4.694253333333333_S_71.6_6.89_117600.47_cornwalltrial_.jpg
"02-07-2024 , 11:26",50.42462166666666,-4.695571666666667,N,Minor Pothole,"Minor Pothole, Minor Transverse Cracking, Minor Alligator",B3268,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702112646087_50.42462166666666_-4.695571666666667_N_40.7_11.23_106786.02_cornwalltrial_10_10_10_4_1_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702112646087_50.42462166666666_-4.695571666666667_N_40.7_11.23_106786.02_cornwalltrial_.jpg
"02-07-2024 , 09:42",50.43524666666667,-4.764238333333334,S,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Alligator, Moderate Alligator",#,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702094222593500_50.43524666666667_-4.764238333333334_S_50.0_7.45_35035.34_cornwalltrial_10_7_7_1_2_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702094222593500_50.43524666666667_-4.764238333333334_S_50.0_7.45_35035.34_cornwalltrial_.jpg
"02-07-2024 , 09:40",50.444565,-4.764871666666666,S,Minor Pothole,Minor Pothole,Truro Road,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702094039592000_50.444565_-4.764871666666666_S_46.5_6.44_33931.83_cornwalltrial_10_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702094039592000_50.444565_-4.764871666666666_S_46.5_6.44_33931.83_cornwalltrial_.jpg
"02-07-2024 , 11:32",50.456675833333335,-4.704523333333333,E,Minor Pothole,"Minor Pothole, Minor Transverse Cracking, Minor Alligator, Minor Longitudinal Cracking",Carminow Road,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702113203090_50.456675833333335_-4.704523333333333_E_40.6_9.43_111586.5_cornwalltrial_10_4_4_4_1_7_7_7_4_4_4_4_7_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702113203090_50.456675833333335_-4.704523333333333_E_40.6_9.43_111586.5_cornwalltrial_.jpg
"02-07-2024 , 11:32",50.45876166666667,-4.697313333333334,E,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking",Carminow Road,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702113238589000_50.45876166666667_-4.697313333333334_E_55.9_7.83_112151.53_cornwalltrial_10_7_7_4_7_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702113238589000_50.45876166666667_-4.697313333333334_E_55.9_7.83_112151.53_cornwalltrial_.jpg
